"PS_manual_aug_str,Contact_angle,Thickness_um,Solvent,Solvent_solubility_parameter_Mpa_sqrt,xw_wt_percent,Temp_C,Permeate_pressure_mbar",J_Total_flux_kg_m_2h_1
c1ccccc1.c1ccc2ocnc2c1.c1ccc2ocnc2c1.c1ccccc1.FC(F)(F)CC(F)(F)F.CCCCO|82.0|24.24|n-butanol|23.1|15.0|25|1.0|,0.0331
FC(F)(F)CC(F)(F)F.c1ccccc1.c1ccc2ocnc2c1.c1ccc2ocnc2c1.c1ccccc1.CCCCO|82.0|24.24|n-butanol|23.1|15.0|25|1.0|,0.0331
c1ccccc1.FC(F)(F)CC(F)(F)F.c1ccccc1.c1ccc2ocnc2c1.c1ccc2ocnc2c1.CCCCO|82.0|24.24|n-butanol|23.1|15.0|25|1.0|,0.0345
c1ccc2ocnc2c1.c1ccccc1.FC(F)(F)CC(F)(F)F.c1ccccc1.c1ccc2ocnc2c1.CCCCO|82.0|24.24|n-butanol|23.1|15.0|25|1.0|,0.0345
c1ccc2ocnc2c1.c1ccc2ocnc2c1.c1ccccc1.FC(F)(F)CC(F)(F)F.c1ccccc1.CCCCO|82.0|24.24|n-butanol|23.1|15.0|25|1.0|,0.0345
c1ccccc1.c1ccc2ocnc2c1.c1ccc2ocnc2c1.c1ccccc1.FC(F)(F)CC(F)(F)F.CCCCO|82.0|24.24|n-butanol|23.1|15.0|25|1.0|,0.0345
FC(F)(F)CC(F)(F)F.c1ccccc1.c1ccc2ocnc2c1.c1ccc2ocnc2c1.c1ccccc1.CCCCO|82.0|24.24|n-butanol|23.1|15.0|25|1.0|,0.0345
c1ccccc1.FC(F)(F)CC(F)(F)F.c1ccccc1.c1ccc2ocnc2c1.c1ccc2ocnc2c1.CC(C)O|82.0|24.24|ipa|23.5|15.0|25|1.0|,0.0374
c1ccc2ocnc2c1.c1ccccc1.FC(F)(F)CC(F)(F)F.c1ccccc1.c1ccc2ocnc2c1.CC(C)O|82.0|24.24|ipa|23.5|15.0|25|1.0|,0.0374
c1ccc2ocnc2c1.c1ccc2ocnc2c1.c1ccccc1.FC(F)(F)CC(F)(F)F.c1ccccc1.CC(C)O|82.0|24.24|ipa|23.5|15.0|25|1.0|,0.0374
c1ccccc1.c1ccc2ocnc2c1.c1ccc2ocnc2c1.c1ccccc1.FC(F)(F)CC(F)(F)F.CC(C)O|82.0|24.24|ipa|23.5|15.0|25|1.0|,0.0374
FC(F)(F)CC(F)(F)F.c1ccccc1.c1ccc2ocnc2c1.c1ccc2ocnc2c1.c1ccccc1.CC(C)O|82.0|24.24|ipa|23.5|15.0|25|1.0|,0.0374
c1ccccc1.FC(F)(F)CC(F)(F)F.c1ccccc1.c1ccc2ocnc2c1.c1ccc2ocnc2c1.CCO|82.0|24.24|ethanol|26.5|10.0|25|1.0|,0.046
c1ccc2ocnc2c1.c1ccccc1.FC(F)(F)CC(F)(F)F.c1ccccc1.c1ccc2ocnc2c1.CCO|82.0|24.24|ethanol|26.5|10.0|25|1.0|,0.046
