"Polymer_manual_aug_str,T_K,P_Mpa",exp_CO2_sol_g_g
C.C.C.O.C=O.C.C.C=O.C.CO.C|353.15|2.103|,0.01523
C.C.C.C.O.C=O.C.C.C=O.C.CO|353.15|2.103|,0.01523
CO.C.C.C.C.O.C=O.C.C.C=O.C|353.15|3.158|,0.02243
C.CO.C.C.C.C.O.C=O.C.C.C=O|353.15|3.158|,0.02243
C=O.C.CO.C.C.C.C.O.C=O.C.C|353.15|3.158|,0.02243
C.C=O.C.CO.C.C.C.C.O.C=O.C|353.15|3.158|,0.02243
C.C.C=O.C.CO.C.C.C.C.O.C=O|353.15|3.158|,0.02243
C=O.C.C.C=O.C.CO.C.C.C.C.O|353.15|3.158|,0.02243
O.C=O.C.C.C=O.C.CO.C.C.C.C|353.15|3.158|,0.02243
C.O.C=O.C.C.C=O.C.CO.C.C.C|353.15|3.158|,0.02243
C.C.O.C=O.C.C.C=O.C.CO.C.C|353.15|3.158|,0.02243
C.C.C.O.C=O.C.C.C=O.C.CO.C|353.15|3.158|,0.02243
C.C.C.C.O.C=O.C.C.C=O.C.CO|353.15|3.158|,0.02243
CO.C.C.C.C.O.C=O.C.C.C=O.C|353.15|6.169|,0.04332
C.CO.C.C.C.C.O.C=O.C.C.C=O|353.15|6.169|,0.04332
C=O.C.CO.C.C.C.C.O.C=O.C.C|353.15|6.169|,0.04332
C.C=O.C.CO.C.C.C.C.O.C=O.C|353.15|6.169|,0.04332
C.C.C=O.C.CO.C.C.C.C.O.C=O|353.15|6.169|,0.04332
C=O.C.C.C=O.C.CO.C.C.C.C.O|353.15|6.169|,0.04332
O.C=O.C.C.C=O.C.CO.C.C.C.C|353.15|6.169|,0.04332
C.O.C=O.C.C.C=O.C.CO.C.C.C|353.15|6.169|,0.04332
C.C.O.C=O.C.C.C=O.C.CO.C.C|353.15|6.169|,0.04332
C.C.C.O.C=O.C.C.C=O.C.CO.C|353.15|6.169|,0.04332
C.C.C.C.O.C=O.C.C.C=O.C.CO|353.15|6.169|,0.04332
CO.C.C.C.C.O.C=O.C.C.C=O.C|353.15|8.05|,0.05601
