"Augmented_SMILES,T_K,P_Mpa",exp_CO2_sol_g_g
O(CCCCOC(=O)CCC(C)=O)C|453.15|8.037|,0.04534
C(CC(OCCCCOC)=O)C(=O)C|453.15|8.037|,0.04534
O=C(C)CCC(=O)OCCCCOC|453.15|8.037|,0.04534
COCCCCOC(=O)CCC(=O)C|453.15|8.57|,0.0484
CC(=O)CCC(OCCCCOC)=O|453.15|8.57|,0.0484
C(CCC(C)=O)(=O)OCCCCOC|453.15|8.57|,0.0484
O(C(CCC(C)=O)=O)CCCCOC|453.15|8.57|,0.0484
C(CC(OCCCCOC)=O)C(=O)C|453.15|8.57|,0.0484
C(C(OCCCCOC)=O)CC(=O)C|453.15|12.007|,0.0683
C(CCCOC)OC(=O)CCC(C)=O|453.15|12.007|,0.0683
C(CCOC)COC(=O)CCC(=O)C|453.15|12.007|,0.0683
C(CCOC)COC(=O)CCC(C)=O|453.15|12.007|,0.0683
CC(CCC(=O)OCCCCOC)=O|453.15|12.007|,0.0683
O=C(OCCCCOC)CCC(C)=O|453.15|12.592|,0.07153
C(CCC(OCCCCOC)=O)(=O)C|453.15|12.592|,0.07153
C(COC)CCOC(=O)CCC(C)=O|453.15|12.592|,0.07153
C(=O)(CCC(=O)C)OCCCCOC|453.15|12.592|,0.07153
O(C(=O)CCC(C)=O)CCCCOC|453.15|12.592|,0.07153
C(CC(=O)C)C(=O)OCCCCOC|453.15|16.071|,0.09082
O=C(CCC(=O)C)OCCCCOC|453.15|16.071|,0.09082
O=C(C)CCC(OCCCCOC)=O|453.15|16.071|,0.09082
C(OC)CCCOC(CCC(=O)C)=O|453.15|16.071|,0.09082
O=C(C)CCC(=O)OCCCCOC|453.15|16.071|,0.09082
COCCCCOC(=O)CCC(=O)C|453.15|16.574|,0.09367
C(CC(OCCCCOC)=O)C(=O)C|453.15|16.574|,0.09367
C(OC)CCCOC(=O)CCC(C)=O|453.15|16.574|,0.09367
O=C(CCC(=O)C)OCCCCOC|453.15|16.574|,0.09367
C(COC)CCOC(CCC(=O)C)=O|453.15|16.574|,0.09367
C(OC(CCC(=O)C)=O)CCCOC|453.15|20.144|,0.1126
CC(CCC(OCCCCOC)=O)=O|453.15|20.144|,0.1126
CC(=O)CCC(OCCCCOC)=O|453.15|20.144|,0.1126
C(CC(C)=O)C(OCCCCOC)=O|453.15|20.144|,0.1126
C(COC(CCC(C)=O)=O)CCOC|453.15|20.144|,0.1126
O(CCCCOC(=O)CCCCC(OCCCCOC)=O)C(=O)CCC(C)=O|323.15|1.098|,0.01259
C(OC(=O)CCCCC(OCCCCOC)=O)CCCOC(=O)CCC(=O)C|323.15|1.098|,0.01259
O(C(CCCCC(=O)OCCCCOC)=O)CCCCOC(=O)CCC(C)=O|323.15|1.098|,0.01259
CC(CCC(OCCCCOC(=O)CCCCC(OCCCCOC)=O)=O)=O|323.15|1.098|,0.01259
C(C(=O)C)CC(OCCCCOC(CCCCC(=O)OCCCCOC)=O)=O|323.15|1.098|,0.01259
C(CCCOC(CCC(=O)C)=O)OC(CCCCC(OCCCCOC)=O)=O|323.15|2.097|,0.02418
C(CCOC(CCC(C)=O)=O)COC(=O)CCCCC(=O)OCCCCOC|323.15|2.097|,0.02418
O=C(OCCCCOC(CCCCC(=O)OCCCCOC)=O)CCC(C)=O|323.15|2.097|,0.02418
C(C(=O)OCCCCOC)CCCC(=O)OCCCCOC(CCC(C)=O)=O|323.15|2.097|,0.02418
CC(CCC(OCCCCOC(CCCCC(=O)OCCCCOC)=O)=O)=O|323.15|2.097|,0.02418
CC(CCC(=O)OCCCCOC(CCCCC(=O)OCCCCOC)=O)=O|323.15|3.065|,0.03559
C(COC(=O)CCCCC(OCCCCOC(CCC(=O)C)=O)=O)CCOC|323.15|3.065|,0.03559
C(C(=O)OCCCCOC)CCCC(OCCCCOC(CCC(=O)C)=O)=O|323.15|3.065|,0.03559
C(OC(=O)CCCCC(=O)OCCCCOC(CCC(=O)C)=O)CCCOC|323.15|3.065|,0.03559
C(OC)CCCOC(CCCCC(=O)OCCCCOC(CCC(C)=O)=O)=O|323.15|3.065|,0.03559
O=C(OCCCCOC(=O)CCCCC(OCCCCOC)=O)CCC(=O)C|323.15|4.053|,0.04749
C(C(OCCCCOC(CCC(C)=O)=O)=O)CCCC(=O)OCCCCOC|323.15|4.053|,0.04749
C(C(C)=O)CC(OCCCCOC(=O)CCCCC(OCCCCOC)=O)=O|323.15|4.053|,0.04749
O=C(OCCCCOC)CCCCC(OCCCCOC(=O)CCC(=O)C)=O|323.15|4.053|,0.04749
O(CCCCOC(CCCCC(OCCCCOC(=O)CCC(=O)C)=O)=O)C|323.15|4.053|,0.04749
O(C)CCCCOC(=O)CCCCC(=O)OCCCCOC(=O)CCC(=O)C|323.15|7.87|,0.1036
C(OC)CCCOC(=O)CCCCC(=O)OCCCCOC(=O)CCC(C)=O|323.15|7.87|,0.1036
O(CCCCOC(CCC(=O)C)=O)C(CCCCC(OCCCCOC)=O)=O|323.15|7.87|,0.1036
C(CCOC(CCCCC(=O)OCCCCOC)=O)COC(CCC(C)=O)=O|323.15|7.87|,0.1036
C(CCOC(CCC(C)=O)=O)COC(CCCCC(=O)OCCCCOC)=O|323.15|7.87|,0.1036
C(CCOC)COC(=O)CCCCC(OCCCCOC(=O)CCC(=O)C)=O|393.15|4.61|,0.04122
O=C(CCCCC(OCCCCOC(=O)CCC(C)=O)=O)OCCCCOC|393.15|4.61|,0.04122
C(CC(C)=O)C(=O)OCCCCOC(=O)CCCCC(OCCCCOC)=O|393.15|4.61|,0.04122
C(CCC(=O)OCCCCOC)CC(=O)OCCCCOC(=O)CCC(C)=O|393.15|4.61|,0.04122
O(CCCCOC)C(CCCCC(=O)OCCCCOC(CCC(=O)C)=O)=O|393.15|4.61|,0.04122
C(C(=O)OCCCCOC(=O)CCC(C)=O)CCCC(=O)OCCCCOC|393.15|6.2|,0.05578
O(C(=O)CCCCC(OCCCCOC)=O)CCCCOC(=O)CCC(C)=O|393.15|6.2|,0.05578
O(CCCCOC)C(=O)CCCCC(OCCCCOC(CCC(=O)C)=O)=O|393.15|6.2|,0.05578
O(CCCCOC(CCCCC(=O)OCCCCOC(CCC(C)=O)=O)=O)C|393.15|6.2|,0.05578
COCCCCOC(CCCCC(OCCCCOC(CCC(C)=O)=O)=O)=O|393.15|6.2|,0.05578
C(COC(=O)CCC(C)=O)CCOC(CCCCC(OCCCCOC)=O)=O|393.15|11.997|,0.1084
C(CCCOC)OC(CCCCC(OCCCCOC(=O)CCC(C)=O)=O)=O|393.15|11.997|,0.1084
C(OCCCCOC)(=O)CCCCC(OCCCCOC(=O)CCC(C)=O)=O|393.15|11.997|,0.1084
O=C(CCC(=O)C)OCCCCOC(CCCCC(OCCCCOC)=O)=O|393.15|11.997|,0.1084
C(CCCOC(=O)CCCCC(OCCCCOC(CCC(=O)C)=O)=O)OC|393.15|11.997|,0.1084
C(OC(=O)CCCCC(=O)OCCCCOC)CCCOC(=O)CCC(=O)C|393.15|12.46|,0.1127
O=C(CCCCC(=O)OCCCCOC(=O)CCC(=O)C)OCCCCOC|393.15|12.46|,0.1127
O(CCCCOC(=O)CCCCC(=O)OCCCCOC)C(CCC(=O)C)=O|393.15|12.46|,0.1127
C(CCCCC(=O)OCCCCOC)(OCCCCOC(CCC(=O)C)=O)=O|393.15|12.46|,0.1127
C(OCCCCOC(CCCCC(OCCCCOC)=O)=O)(=O)CCC(C)=O|393.15|12.46|,0.1127
O=C(C)CCC(=O)OCCCCOC(CCCCC(OCCCCOC)=O)=O|393.15|16.024|,0.1423
C(OC(CCCCC(=O)OCCCCOC(CCC(=O)C)=O)=O)CCCOC|393.15|16.024|,0.1423
C(C(=O)OCCCCOC(=O)CCC(C)=O)CCCC(OCCCCOC)=O|393.15|16.024|,0.1423
C(CCOC)COC(CCCCC(OCCCCOC(CCC(C)=O)=O)=O)=O|393.15|16.024|,0.1423
C(CCOC(=O)CCC(C)=O)COC(=O)CCCCC(=O)OCCCCOC|393.15|16.024|,0.1423
C(COC(=O)CCC(C)=O)CCOC(=O)CCCCC(OCCCCOC)=O|393.15|16.548|,0.1467
C(CCCOC)OC(CCCCC(=O)OCCCCOC(=O)CCC(=O)C)=O|393.15|16.548|,0.1467
C(CC(OCCCCOC)=O)CCC(OCCCCOC(CCC(=O)C)=O)=O|393.15|16.548|,0.1467
O=C(CCCCC(=O)OCCCCOC)OCCCCOC(CCC(C)=O)=O|393.15|16.548|,0.1467
O(CCCCOC(CCCCC(OCCCCOC)=O)=O)C(=O)CCC(=O)C|393.15|16.548|,0.1467
CC(CCC(OCCCCOC(=O)CCCCC(OCCCCOC)=O)=O)=O|393.15|20.036|,0.1741
C(COC(CCCCC(OCCCCOC)=O)=O)CCOC(=O)CCC(C)=O|393.15|20.036|,0.1741
COCCCCOC(=O)CCCCC(OCCCCOC(CCC(C)=O)=O)=O|393.15|20.036|,0.1741
C(CC(C)=O)C(OCCCCOC(=O)CCCCC(=O)OCCCCOC)=O|393.15|20.036|,0.1741
O(C(CCC(=O)C)=O)CCCCOC(CCCCC(=O)OCCCCOC)=O|393.15|20.036|,0.1741
C(CCOC(CCCCC(=O)OCCCCOC)=O)COC(CCC(C)=O)=O|423.15|2.102|,0.01451
COCCCCOC(=O)CCCCC(=O)OCCCCOC(=O)CCC(=O)C|423.15|2.102|,0.01451
O=C(CCCCC(OCCCCOC)=O)OCCCCOC(=O)CCC(C)=O|423.15|2.102|,0.01451
O=C(OCCCCOC(CCC(=O)C)=O)CCCCC(=O)OCCCCOC|423.15|2.102|,0.01451
C(CCCOC)OC(CCCCC(=O)OCCCCOC(=O)CCC(C)=O)=O|423.15|2.102|,0.01451
C(OC(CCCCC(=O)OCCCCOC)=O)CCCOC(=O)CCC(=O)C|423.15|2.676|,0.01851
C(CCCC(=O)OCCCCOC(CCC(C)=O)=O)C(=O)OCCCCOC|423.15|2.676|,0.01851
C(COC(=O)CCCCC(OCCCCOC(CCC(=O)C)=O)=O)CCOC|423.15|2.676|,0.01851
C(OC(CCC(C)=O)=O)CCCOC(CCCCC(=O)OCCCCOC)=O|423.15|2.676|,0.01851
C(OC(=O)CCCCC(=O)OCCCCOC(=O)CCC(C)=O)CCCOC|423.15|2.676|,0.01851
O(CCCCOC(=O)CCCCC(=O)OCCCCOC)C(=O)CCC(C)=O|423.15|4.118|,0.02863
