Augmented_SMILES,calc_PCE_percent
CCCCC(Cc1c(cc(-c2c3c(c(c4sc(-c5sc(cc5)-c5c(F)c(c(c6c5nn(n6)CC(CCCCCCCC)CCCCCC)-c5ccc(C)s5)F)cc24)-c2sc(c(c2)F)CCCCC(CC)C)cc(s3)C)s1)F)CC.c12cc(sc1c1C(c3ccc(CCCCCC)cc3)(c3ccc(cc3)CCCCCC)c3cc4-c5c(c6sc(-c7c8c(c(/C=c9\c(=O)n(c(=C(C#N)C#N)s9)CC)cc7)nn(CCCCCCCC)n8)cc6s5)C(c5ccc(CCCCCC)cc5)(c4cc3-c1s2)c1ccc(cc1)CCCCCC)-c1c2nn(CCCCCCCC)nc2c(/C=c2/sc(=C(C#N)C#N)n(CC)c2=O)cc1,8.36
C(CCC)CCCCC(Cn1nc2c(c(F)c(c(-c3sc(cc3)-c3sc4c(c5cc(C)sc5c(-c5sc(CC(CCCC)CC)c(c5)F)c4c3)-c3cc(c(s3)CCCCC(CC)C)F)c2n1)F)-c1sc(C)cc1)CCCCCC.C(C#N)(=c1n(CC)c(=O)/c(s1)=C\c1c2nn(nc2c(cc1)-c1sc2c3C(c4c(-c3sc2c1)cc1c(c4)-c2c(C1(c1ccc(cc1)CCCCCC)c1ccc(cc1)CCCCCC)c1c(cc(s1)-c1ccc(c3c1nn(n3)CCCCCCCC)/C=c1/sc(=C(C#N)C#N)n(CC)c1=O)s2)(c1ccc(cc1)CCCCCC)c1ccc(CCCCCC)cc1)CCCCCCCC)C#N,8.36
C(C)C(CCCC)Cc1sc(cc1F)-c1c2cc(sc2c(-c2cc(c(CCCCC(C)CC)s2)F)c2c1sc(c2)C)-c1sc(cc1)-c1c2c(nn(CC(CCCCCCCC)CCCCCC)n2)c(-c2sc(cc2)C)c(F)c1F.n1c2c(nn1CCCCCCCC)c(/C=c1\c(n(c(s1)=C(C#N)C#N)CC)=O)ccc2-c1cc2sc3c(c2s1)C(c1cc2-c4sc5cc(-c6c7nn(CCCCCCCC)nc7c(/C=c7/sc(=C(C#N)C#N)n(CC)c7=O)cc6)sc5c4C(c4ccc(cc4)CCCCCC)(c2cc-31)c1ccc(cc1)CCCCCC)(c1ccc(cc1)CCCCCC)c1ccc(cc1)CCCCCC,8.36
n1(nc2c(c(-c3ccc(s3)C)c(c(F)c2-c2ccc(s2)-c2sc3c(c2)c(c2sc(C)cc2c3-c2sc(CCCCC(CC)C)c(c2)F)-c2sc(c(c2)F)CC(CCCC)CC)F)n1)CC(CCCCCC)CCCCCCCC.C(CCCCc1ccc(cc1)C1(c2c(cc3C(c4ccc(CCCCCC)cc4)(c4ccc(cc4)CCCCCC)c4c5c(cc(-c6ccc(c7nn(nc76)CCCCCCCC)/C=c6/sc(=C(C#N)C#N)n(c6=O)CC)s5)sc4-c3c2)-c2c1c1sc(cc1s2)-c1ccc(c2c1nn(n2)CCCCCCCC)/C=c1\c(=O)n(CC)c(=C(C#N)C#N)s1)c1ccc(CCCCCC)cc1)C,8.36
CCCCCCCCC(CCCCCC)Cn1nc2c(-c3ccc(C)s3)c(F)c(F)c(-c3ccc(-c4cc5c(-c6cc(F)c(SCC(CC)CCCC)s6)c6sc(C)cc6c(-c6cc(F)c(SCC(CC)CCCC)s6)c5s4)s3)c2n1.CCCCCCCCn1nc2c(/C=c3/sc(=C(C#N)C#N)n(CC)c3=O)ccc(-c3cc4sc5c(c4s3)C(c3ccc(CCCCCC)cc3)(c3ccc(CCCCCC)cc3)c3cc4c(cc3-5)C(c3ccc(CCCCCC)cc3)(c3ccc(CCCCCC)cc3)c3c-4sc4cc(-c5ccc(/C=c6/sc(=C(C#N)C#N)n(CC)c6=O)c6nn(CCCCCCCC)nc56)sc34)c2n1,3.841
CCC(CCCC)CSc1sc(cc1F)-c1c2sc(C)cc2c(-c2cc(c(s2)SCC(CC)CCCC)F)c2c1cc(-c1ccc(-c3c4c(c(c(F)c3F)-c3sc(cc3)C)nn(n4)CC(CCCCCC)CCCCCCCC)s1)s2.c12sc(cc1sc1-c3cc4C(c5c6c(cc(s6)-c6c7nn(nc7c(cc6)/C=c6/sc(=C(C#N)C#N)n(CC)c6=O)CCCCCCCC)sc5-c4cc3C(c3ccc(CCCCCC)cc3)(c3ccc(CCCCCC)cc3)c12)(c1ccc(CCCCCC)cc1)c1ccc(cc1)CCCCCC)-c1ccc(c2c1nn(CCCCCCCC)n2)/C=c1/sc(n(c1=O)CC)=C(C#N)C#N,3.841
c1c(-c2sc(cc2)-c2c3c(c(c(F)c2F)-c2ccc(s2)C)nn(n3)CC(CCCCCCCC)CCCCCC)sc2c(-c3sc(c(c3)F)SCC(CCCC)CC)c3c(c(c21)-c1sc(c(F)c1)SCC(CCCC)CC)sc(c3)C.C(C(=c1n(CC)c(/c(=C\c2c3c(nn(n3)CCCCCCCC)c(-c3cc4c(c5c(-c6cc7c(-c8sc9c(c8C7(c7ccc(CCCCCC)cc7)c7ccc(cc7)CCCCCC)sc(-c7ccc(c8nn(nc78)CCCCCCCC)/C=c7/sc(n(c7=O)CC)=C(C#N)C#N)c9)cc6C5(c5ccc(cc5)CCCCCC)c5ccc(CCCCCC)cc5)s4)s3)cc2)s1)=O)C#N)#N,3.841
C(C)C(CSc1sc(-c2c3cc(sc3c(-c3sc(SCC(CCCC)CC)c(F)c3)c3cc(sc23)-c2sc(-c3c(c(c(-c4sc(cc4)C)c4nn(nc43)CC(CCCCCCCC)CCCCCC)F)F)cc2)C)cc1F)CCCC.c1(/C=c2\c(n(CC)c(=C(C#N)C#N)s2)=O)c2c(nn(n2)CCCCCCCC)c(-c2cc3sc4c(c3s2)C(c2ccc(cc2)CCCCCC)(c2c-4cc3C(c4c5sc(cc5sc4-c3c2)-c2ccc(c3c2nn(n3)CCCCCCCC)/C=c2\c(n(CC)c(s2)=C(C#N)C#N)=O)(c2ccc(CCCCCC)cc2)c2ccc(cc2)CCCCCC)c2ccc(cc2)CCCCCC)cc1,3.841
C(C(CCCCCC)Cn1nc2c(-c3ccc(s3)-c3sc4c(c(-c5sc(c(c5)F)SCC(CC)CCCC)c5c(c4-c4sc(SCC(CC)CCCC)c(c4)F)cc(C)s5)c3)c(F)c(F)c(-c3ccc(C)s3)c2n1)CCCCCCC.s1c(cc2sc3c(c21)C(c1ccc(cc1)CCCCCC)(c1cc2-c4c(C(c5ccc(CCCCCC)cc5)(c2cc1-3)c1ccc(CCCCCC)cc1)c1sc(-c2ccc(c3c2nn(CCCCCCCC)n3)/C=c2/sc(n(c2=O)CC)=C(C#N)C#N)cc1s4)c1ccc(CCCCCC)cc1)-c1c2nn(nc2c(cc1)/C=c1\c(=O)n(CC)c(=C(C#N)C#N)s1)CCCCCCCC,3.841
S(c1sc(cc1F)-c1c2c(cc(-c3sc(cc3)-c3c(F)c(F)c(c4nn(nc34)CC(CCCCCCCC)CCCCCC)-c3sc(cc3)C)s2)c(c2c1cc(C)s2)-c1cc(F)c(SCC(CCCC)CC)s1)CC(CC)CCCC.c1c(C2(c3ccc(cc3)CCCCCC)c3c4c(cc(-c5c6c(c(cc5)/C=c5/sc(n(c5=O)CC)=C(C#N)C#N)nn(n6)CCCCCCCC)s4)sc3-c3c2cc2-c4sc5c(sc(c5)-c5ccc(c6c5nn(n6)CCCCCCCC)/C=c5/sc(n(CC)c5=O)=C(C#N)C#N)c4C(c4ccc(cc4)CCCCCC)(c4ccc(cc4)CCCCCC)c2c3)ccc(CCCCCC)c1,3.841
