Augmented_SMILES,SD
C(CCCCCC(=O)OCCCCCOCCCCOCCCCC)CCCCCNC.O=C(C)OCC,15.65
CCC(C)C#N.CCOC(=O)C,0.27
CC(CC)C#N.CCOC(C)=O,0.27
C(C)C(C#N)C.C(C)(OCC)=O,0.27
CCC(C#N)C.O(CC)C(=O)C,0.27
C(C)C(C)C#N.C(=O)(C)OCC,0.27
CC(C#N)CC.O(C(=O)C)CC,0.27
C(C(C#N)C)C.C(C)OC(=O)C,0.27
C(C)(C#N)CC.CC(=O)OCC,0.27
C(C#N)(CC)C.CC(OCC)=O,0.27
COc2ccc(S(=O)(=O)c1ccc(C)cc1)cc2.CCOC(=O)C,8.63
O=S(=O)(c1ccc(C)cc1)c1ccc(cc1)OC.C(OCC)(C)=O,8.63
O=S(=O)(c1ccc(cc1)C)c1ccc(OC)cc1.C(=O)(C)OCC,8.63
c1(S(=O)(=O)c2ccc(C)cc2)ccc(cc1)OC.C(C)OC(C)=O,8.63
Cc1ccc(S(c2ccc(OC)cc2)(=O)=O)cc1.O=C(C)OCC,8.63
S(c1ccc(cc1)C)(c1ccc(cc1)OC)(=O)=O.CC(OCC)=O,8.63
c1c(S(c2ccc(C)cc2)(=O)=O)ccc(c1)OC.CC(=O)OCC,8.63
c1cc(S(c2ccc(cc2)C)(=O)=O)ccc1OC.C(OC(C)=O)C,8.63
c1c(OC)ccc(c1)S(=O)(c1ccc(C)cc1)=O.C(C)OC(=O)C,8.63
COc4ccc(S(=O)(=O)c3ccc(Oc2ccc(C(C)(C)c1ccc(C)cc1)cc2)cc3)cc4.CCOC(=O)C,9.2
c1(C)ccc(cc1)C(c1ccc(Oc2ccc(cc2)S(=O)(=O)c2ccc(OC)cc2)cc1)(C)C.O=C(C)OCC,9.2
c1(Oc2ccc(cc2)C(C)(c2ccc(C)cc2)C)ccc(S(=O)(c2ccc(cc2)OC)=O)cc1.O(CC)C(=O)C,9.2
c1cc(C(C)(C)c2ccc(C)cc2)ccc1Oc1ccc(cc1)S(c1ccc(cc1)OC)(=O)=O.CC(=O)OCC,9.2
c1c(C)ccc(c1)C(C)(c1ccc(Oc2ccc(cc2)S(=O)(c2ccc(OC)cc2)=O)cc1)C.C(C)OC(C)=O,9.2
c1cc(OC)ccc1S(=O)(c1ccc(Oc2ccc(C(C)(c3ccc(C)cc3)C)cc2)cc1)=O.O=C(OCC)C,9.2
c1c(C(C)(C)c2ccc(cc2)Oc2ccc(S(c3ccc(OC)cc3)(=O)=O)cc2)ccc(c1)C.CC(OCC)=O,9.2
c1c(ccc(Oc2ccc(cc2)C(C)(c2ccc(cc2)C)C)c1)S(=O)(c1ccc(OC)cc1)=O.O(C(=O)C)CC,9.2
c1(ccc(cc1)Oc1ccc(cc1)S(c1ccc(OC)cc1)(=O)=O)C(C)(C)c1ccc(C)cc1.O(CC)C(C)=O,9.2
Cc1ccc7c(c1)C(C)(c6ccc(n5c(=O)c4ccc(C(=O)c3ccc2c(=O)n(C)c(=O)c2c3)cc4c5=O)cc6)CC7(C)C.CCOC(=O)C,15.08
C1C(C)(C)c2ccc(cc2C1(C)c1ccc(cc1)N1C(=O)c2c(C1=O)ccc(c2)C(c1ccc2C(N(C)C(=O)c2c1)=O)=O)C.O(CC)C(C)=O,15.08
